,Dynamische Einflussfaktoren,,,,,,,
IoT-HW-ID:,Zeitstempel (DD-MM-YY HH:MM):,Raum betreten:,Personen imRaum:,Fenster geöffnet:,Tür geöffnet:,Heizung an:,Fernseher an:,PC an:
a13d7,23-12-18 16:10,JA,1,JA,Nein,Nein,Nein,Nein
a13d7,23-12-18 16:38,Nein,0,Nein,Nein,JA,Nein,Nein
a13d7,24-12-18 00:16,JA,1,Nein,Nein,JA,Nein,Nein
a13d7,24-12-18 02:33,JA,2,Nein,Nein,JA,Nein,Nein
a13d7,24-12-18 10:30,Nein,1,Nein,JA,JA,Nein,Nein
a13d7,24-12-18 10:50,Nein,0,Nein,JA,JA,Nein,Nein
a13d7,24-12-18 11:07,JA,1,JA,Nein,Nein,Nein,Nein
a13d7,24-12-18 11:13,Nein,0,Nein,Nein,JA,Nein,Nein
a13d7,24-12-18 14:30,JA,1,JA,Nein,Nein,Nein,Nein
a13d7,24-12-18 14:33,Nein,0,Nein,Nein,JA,Nein,Nein
a13d7,25-12-18 00:30,JA,1,Nein,Nein,JA,Nein,Nein
a13d7,25-12-18 03:14,JA,2,Nein,JA,JA,Nein,Nein
a13d7,25-12-18 10:00,Nein,1,Nein,JA,JA,Nein,Nein
a13d7,25-12-18 12:00,Nein,0,Nein,JA,JA,Nein,Nein
a13d7,25-12-18 23:40,JA,1,Nein,Nein,JA,Nein,Nein
a13d7,26-12-18 02:34,JA,2,JA,Nein,JA,Nein,Nein
a13d7,26-12-18 02:36,Nein,2,Nein,Nein,JA,Nein,Nein
a13d7,26-12-18 11:00,Nein,1,Nein,JA,JA,Nein,Nein
a13d7,26-12-18 13:26,Nein,0,JA,JA,Nein,Nein,Nein
a13d7,26-12-18 13:45,JA,1,Nein,Nein,Nein,Nein,Nein
a13d7,26-12-18 13:48,Nein,1,JA,Nein,Nein,Nein,Nein
a13d7,26-12-18 13:50,Nein,1,Nein,Nein,JA,Nein,Nein
